Icd;lab_pat;DescrIntervento;CodInterv;Filler
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;ESTRAZIONE EXTRACAPSULARE DELLA CATARATTA CON TECNICA DI ESTRAZIONE LINEARE;132;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA;1371;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;RIMOZIONE DI PROTESI OCULARE;1671;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;VITRECTOMIA MECCANICA PER VIA ANTERIORE;1473;
74320;BUFTALMO, NON SPECIFICATO;ALTRA IRIDECTOMIA;1214;
74320;BUFTALMO, NON SPECIFICATO;ALTRA PROCEDURA DIAGNOSTICA SULL'IRIDE, SUL CORPO CILIARE, SULLA SCLERA E SULLA CAMERA ANTERIORE;1229;
74320;BUFTALMO, NON SPECIFICATO;ALTRE PROCEDURE DIAGNOSTICHE SULL'ORBITA E SUL BULBO OCULARE;1629;
74320;BUFTALMO, NON SPECIFICATO;ALTRI INTERVENTI DI FISTOLIZZAZIONE DELLA SCLERA;1269;
74320;BUFTALMO, NON SPECIFICATO;ALTRI INTERVENTI SULL'ORBITA;1698;
74320;BUFTALMO, NON SPECIFICATO;ASPORTAZIONE O DEMOLIZIONE DI LESIONE DELLA SCLERA;1284;
74320;BUFTALMO, NON SPECIFICATO;COREOPLASTICA;1235;
74320;BUFTALMO, NON SPECIFICATO;GONIOTOMIA CON GONIOPUNTURA;1253;
74320;BUFTALMO, NON SPECIFICATO;LISI DI ALTRE SINECHIE ANTERIORI;1232;
74320;BUFTALMO, NON SPECIFICATO;LISI DI SINECHIE POSTERIORI;1233;
74320;BUFTALMO, NON SPECIFICATO;PARACENTESI DELLA CAMERA ANTERIORE;1291;
74320;BUFTALMO, NON SPECIFICATO;SPECILLAZIONE DEL DOTTO NASO-LACRIMALE;0943;
74320;BUFTALMO, NON SPECIFICATO;TERMOCAUTERIZZAZIONE DELLA SCLERA CON IRIDECTOMIA;1262;
5523;ERNIA DIAFRAMMATICA, CON OSTRUZIONE;RIPARAZIONE DI ERNIA DIAFRAMMATICA, PER VIA ADDOMINALE;537;
4240;DISTURBI DELLA VALVOLA MITRALE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA MITRALE SENZA SOSTITUZIONE;3512;
4242;DISTURBI DELLA VALVOLA TRICUSPIDE, SPECIFICATI COME NON REUMATICI;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA MITRALE SENZA SOSTITUZIONE;3512;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;ALTRA RIPARAZIONE DELLE MENINGI CEREBRALI;0212;
73671;PIEDE TORTO, ACQUISITO;CORREZIONE DI PIEDE TORTO, NON CLASSIFICATO ALTROVE;8384;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;ALTRA CRANIECTOMIA;0125;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
74259;ALTRE ANOMALIE DEL MIDOLLO SPINALE NON SPECIFICATE;RIPARAZIONE DI MENINGOCELE SPINALE;0351;
74259;ALTRE ANOMALIE DEL MIDOLLO SPINALE NON SPECIFICATE;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
74344;ANOMALIE SPECIFICATE DELLA CAMERA ANTERIORE, DELL'ANGOLO DELLA CAMERA E DELLE RELATIVE STRUTTURE;ALTRI INTERVENTI SULLA CAMERA ANTERIORE;1299;
74351;ANOMALIE DEL CORPO VITREO;ALTRI INTERVENTI SULLA CAMERA ANTERIORE;1299;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;VALVULOPLASTICA PERCUTANEA;3596;
74689;ALTRE ANOMALIE NON SPECIFICATE DEL CUORE;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
74902;PALATOSCHISI UNILATERALE, INCOMPLETA;TRASFERIMENTO DI INNESTO PEDUNCOLATO A LEMBO IN ALTRE SEDI;8674;
74920;PALATOSCHISI CON LABIOSCHISI, NON SPECIFICATA;ALTRA RIPARAZIONE PLASTICA DELLA BOCCA;2759;
74320;BUFTALMO, NON SPECIFICATO;TRABECULECTOMIA AB EXTERNO;1264;
74320;BUFTALMO, NON SPECIFICATO;TRABECULOTOMIA AB EXTERNO;1254;
74321;BUFTALMO SEMPLICE;FACOEMULSIFICAZIONE ED ASPIRAZIONE DI CATARATTA;1341;
